&a / °	I1 / %
-0.957	26.8
-0.962	23.1
-0.968	19.8
-0.973	16.8
-0.979	14.4
-0.984	12.4
-0.989	10.8
-0.995	9.5
-1.000	8.4
-1.005	7.6
-1.011	6.8
-1.016	6.3
-1.021	5.8
-1.027	5.3
-1.032	4.8
-1.037	4.4
-1.043	4.4
-1.048	4.1
-1.053	4.0
-1.059	4.0
-1.064	3.9
-1.069	3.7
-1.075	3.6
-1.080	3.6
-1.085	3.6
-1.091	3.6
-1.096	3.5
-1.101	3.5
-1.107	3.5
-1.112	3.5
-1.118	3.6
-1.123	3.6
-1.128	3.6
-1.134	3.6
-1.139	3.6
-1.144	3.6
-1.150	3.6
-1.155	3.7
-1.160	4.0
-1.166	4.0
-1.171	4.4
-1.176	4.8
-1.182	5.2
-1.187	5.6
-1.192	6.1
-1.198	6.8
-1.203	7.6
-1.208	8.4
-1.214	9.6
-1.219	10.8
-1.224	12.4
-1.230	14.0
-1.235	16.0
-1.240	18.4
-1.246	21.0
-1.251	24.0
-1.256	27.2
-1.262	30.4
-1.267	33.2
-1.273	35.4
-1.278	36.2
-1.283	35.3
-1.289	32.6
-1.294	28.8
-1.299	24.4
-1.305	20.1
-1.310	16.5
-1.315	13.5
-1.321	11.2
-1.326	9.2
-1.331	8.0
-1.337	6.8
-1.342	6.1
-1.347	5.5
-1.353	4.9
-1.358	4.5
-1.363	4.4
-1.369	4.0
-1.374	4.0
-1.379	3.8
-1.385	3.7
-1.390	3.6
-1.395	3.6
-1.401	3.5
-1.406	3.5
-1.411	3.5
-1.417	3.5
-1.422	3.5
-1.428	3.4
-1.433	3.4
-1.438	3.5
-1.444	3.6
-1.449	3.6
-1.454	3.7
-1.460	4.0
-1.465	4.2
-1.470	4.6
-1.476	5.2
-1.481	6.0
-1.486	6.8
-1.492	7.8
-1.497	9.0
-1.502	10.4
-1.508	12.0
-1.513	14.0
-1.518	16.4
-1.524	19.2
-1.529	22.2
-1.534	25.4
-1.540	28.5
-1.545	31.0
-1.550	32.3
-1.556	31.7
-1.561	29.0
-1.566	24.9
-1.572	20.4
-1.577	16.4
-1.582	13.0
-1.588	10.5
-1.593	8.5
-1.599	7.2
-1.604	6.0
-1.609	5.2
-1.615	4.8
-1.620	4.4
-1.625	4.0
-1.631	3.9
-1.636	3.6
-1.641	3.6
-1.647	3.4
-1.652	3.3
-1.657	3.2
-1.663	3.2
