&a / °	I1 / %
-2.191	17.6
-2.197	13.9
-2.202	10.7
-2.207	8.3
-2.213	6.4
-2.218	5.2
-2.223	4.4
-2.229	3.9
-2.234	3.5
-2.240	3.1
-2.245	2.9
-2.250	2.9
-2.256	2.8
-2.261	2.8
-2.266	2.8
-2.272	2.8
-2.277	2.8
-2.282	2.9
-2.288	3.1
-2.293	3.5
-2.298	3.9
-2.304	4.5
-2.309	5.3
-2.314	6.4
-2.320	8.0
-2.325	10.0
-2.330	12.7
-2.336	15.5
-2.341	18.2
-2.346	19.9
-2.352	19.9
-2.357	18.0
-2.362	14.8
-2.368	11.6
-2.373	8.8
-2.378	6.7
-2.384	5.2
-2.389	4.3
-2.394	3.5
-2.400	3.1
-2.405	2.7
-2.410	2.7
-2.416	2.6
-2.421	2.6
-2.426	2.5
-2.432	2.5
-2.437	2.4
-2.442	2.5
-2.448	2.6
-2.453	2.9
-2.458	3.3
-2.464	3.7
-2.469	4.3
-2.474	5.2
-2.480	6.3
-2.485	8.2
-2.490	10.4
-2.496	13.1
-2.501	15.4
-2.506	16.8
-2.512	16.8
-2.517	15.1
-2.522	12.4
-2.528	9.6
-2.533	7.2
-2.538	5.6
-2.544	4.6
-2.549	3.8
-2.554	3.3
-2.560	3.0
-2.565	2.7
-2.570	2.7
-2.576	2.5
-2.581	2.4
-2.586	2.4
-2.592	2.4
-2.597	2.4
-2.602	2.5
-2.608	2.7
-2.613	3.1
-2.619	3.5
-2.624	4.0
-2.629	4.8
-2.635	6.0
-2.640	7.9
-2.645	10.3
-2.651	12.7
-2.656	14.6
-2.661	14.9
-2.667	13.4
-2.672	10.8
-2.677	8.3
-2.683	6.2
-2.688	4.7
-2.693	3.9
-2.699	3.2
-2.704	2.7
-2.709	2.4
-2.715	2.0
-2.720	2.0
-2.725	1.9
-2.731	1.9
-2.736	2.0
-2.741	2.0
-2.747	2.0
-2.752	2.3
-2.757	2.6
-2.763	3.0
-2.768	3.4
-2.773	4.0
-2.779	5.1
-2.784	6.6
-2.789	8.5
-2.795	10.5
-2.800	11.8
-2.805	11.6
-2.811	10.0
-2.816	8.0
-2.821	6.0
-2.827	4.6
-2.832	3.5
-2.837	2.8
-2.843	2.3
-2.848	1.9
-2.853	1.9
-2.859	1.8
-2.864	1.6
-2.869	1.6
-2.875	1.6
-2.880	1.6
-2.885	1.6
-2.891	1.6
-2.896	2.0
-2.901	2.3
-2.907	2.8
-2.912	3.4
-2.917	4.3
-2.923	5.5
-2.928	7.1
-2.933	8.7
-2.939	9.5
-2.944	8.7
-2.949	7.1
-2.955	5.5
-2.960	4.1
-2.965	3.1
-2.971	2.4
-2.976	1.9
-2.981	1.5
-2.987	1.5
-2.992	1.3
-2.997	1.2
-3.003	1.2
-3.008	1.2
-3.013	1.2
-3.019	1.2
-3.024	1.4
-3.029	1.5
-3.035	1.9
-3.040	2.3
-3.045	2.8
-3.051	3.5
-3.056	4.7
-3.061	6.0
-3.067	6.8
-3.072	6.7
-3.077	5.5
-3.083	4.4
-3.088	3.2
-3.093	2.4
-3.099	1.9
-3.104	1.5
-3.109	1.1
-3.115	1.1
-3.120	1.1
-3.125	1.1
-3.131	1.1
-3.136	1.1
-3.141	1.1
-3.147	1.1
-3.152	1.1
-3.157	1.3
-3.163	1.5
-3.168	1.9
-3.173	2.3
-3.179	3.1
-3.184	3.9
-3.189	4.7
-3.195	4.8
-3.200	4.3
-3.205	3.5
-3.211	2.7
-3.216	1.9
-3.221	1.5
-3.227	1.1
-3.232	1.1
-3.237	0.9
-3.243	0.8
-3.248	0.8
-3.253	0.8
-3.259	0.7
-3.264	0.7
-3.269	0.7
-3.275	0.7
-3.280	0.7
-3.285	0.8
-3.291	1.1
-3.296	1.5
-3.301	2.0
-3.306	2.8
-3.312	3.2
-3.317	3.2
-3.322	2.7
-3.328	2.2
-3.333	1.6
-3.338	1.2
-3.344	0.9
-3.349	0.8
-3.354	0.7
-3.360	0.7
-3.365	0.7
-3.370	0.7
-3.376	0.7
-3.381	0.7
-3.386	0.7
-3.392	0.7
-3.397	0.7
-3.402	0.7
-3.408	0.8
